"CLIENTE","SETOR","DOCUMENTO","metadata","document_date","ETIQUETA","CAIXA","ENDERECO"
Unilogic Canal Geek,Unilogic Canal Geek,Documentos Unilogic Canal Geek,"{""Pasta"":""155"",""Setor"":null,""Periodo"":null,""Assunto"":""SEGURO EMPRESA"",""Observa\u00e7\u00e3o"":""AP\u00d3LICES DE SEGURO ( BB EMPRESARIAL), PROPOSTA, AP\u00d3LICES E ENDOSSO DE SEGURO EMPRESARIAL E EQUIPAMENTOS (PORTO SEGURO)"",""Data do Documento"":""31\/12\/2022"",""Etiqueta"":""2607776""}","2022-12-31",2607776,100762,"10A261106"
Unilogic Canal Geek,Unilogic Canal Geek,Documentos Unilogic Canal Geek,"{""Pasta"":""156"",""Setor"":null,""Periodo"":null,""Assunto"":""VR"",""Observa\u00e7\u00e3o"":""DECLARA\u00c7\u00d5ES DE RECEBIMENTO, CONTRATO DE PRESTA\u00c7\u00c3O DE SERVI\u00c7O E RESCIS\u00c3O, NOTAS FISCAIS, BOLETOS, RELAT\u00d3RIOS E COMPROVANTES DE PAGAMENTOS"",""Data do Documento"":""31\/12\/2022"",""Etiqueta"":""2607777""}","2022-12-31",2607777,100762,"10A261106"
Unilogic Canal Geek,Unilogic Canal Geek,Documentos Unilogic Canal Geek,"{""Pasta"":""153"",""Setor"":null,""Periodo"":""2012 A 2016"",""Assunto"":""INVOICES"",""Observa\u00e7\u00e3o"":""FATURAS DE SERVI\u00c7OS PRESTADOS PARA EMPRESAS DE OUTROS PA\u00cdSES - 2012 A 2016 - ULTRADOWNLOADS"",""Data do Documento"":""31\/12\/2016"",""Etiqueta"":""2607774""}","2016-12-31",2607774,100761,"10A261107"
Unilogic Canal Geek,Unilogic Canal Geek,Documentos Unilogic Canal Geek,"{""Pasta"":""154"",""Setor"":null,""Periodo"":""2016 A 2021"",""Assunto"":""SEGURO DE VIDA EM GRUPO"",""Observa\u00e7\u00e3o"":""AP\u00d3LICES E ENDOSSO DE SEGUROS (PORTO SEGURO) 2016 A 2021"",""Data do Documento"":""31\/12\/2021"",""Etiqueta"":""2607775""}","2021-12-31",2607775,100761,"10A261107"
Unilogic Canal Geek,Unilogic Canal Geek,Documentos Unilogic Canal Geek,"{""Pasta"":""150"",""Setor"":null,""Periodo"":""2008 A 2013"",""Assunto"":""NET"",""Observa\u00e7\u00e3o"":""ORDENS DE SERVI\u00c7O, FATURAS E COMPROVANTES DE PAGAMENTOS - 2008 A 2013"",""Data do Documento"":""31\/12\/2013"",""Etiqueta"":""2607771""}","2013-12-31",2607771,100760,"10A261108"
Unilogic Canal Geek,Unilogic Canal Geek,Documentos Unilogic Canal Geek,"{""Pasta"":""151"",""Setor"":null,""Periodo"":null,""Assunto"":""ITAU"",""Observa\u00e7\u00e3o"":""DECLARA\u00c7\u00d5ES DE FATURAMENTO, ACORDOS COMERCIAIS, AUTORIZA\u00c7\u00d5ES PARA D\u00c9BITO AUTOM\u00c1TICO, DOCUMENTOS SOBRE M\u00c1QUINAS DE CART\u00d5ES DE CR\u00c9DITO (REDE, ITAUCARD, AMERICAN EXPRESS), FATURAS E COMPROVANTES DE PAGAMENTOS"",""Data do Documento"":""31\/12\/2022"",""Etiqueta"":""2607772""}","2022-12-31",2607772,100760,"10A261108"
Unilogic Canal Geek,Unilogic Canal Geek,Documentos Unilogic Canal Geek,"{""Pasta"":""152"",""Setor"":null,""Periodo"":""AGOSTO A DEZEMBRO 2013"",""Assunto"":""ISS"",""Observa\u00e7\u00e3o"":""GUIAS DE RECOLHIMENTO DE ISS (TOMADOR) - AGOSTO A DEZEMBRO 2013"",""Data do Documento"":""31\/12\/2013"",""Etiqueta"":""2607773""}","2013-12-31",2607773,100760,"10A261108"
Unilogic Canal Geek,Unilogic Canal Geek,Documentos Unilogic Canal Geek,"{""Pasta"":""148"",""Setor"":null,""Periodo"":""2015 \/ 2016"",""Assunto"":""NOTAS FISCAIS E FATURAS - 2015 E 2016"",""Observa\u00e7\u00e3o"":""NOTAS FISCAIS SERVI\u00c7O (SA\u00cdDA) E FATURAS EMITIDAS PELA UNILOGIC 2015 E 2016"",""Data do Documento"":""31\/12\/2016"",""Etiqueta"":""2607769""}","2016-12-31",2607769,100759,"10A261109"
Unilogic Canal Geek,Unilogic Canal Geek,Documentos Unilogic Canal Geek,"{""Pasta"":""149"",""Setor"":null,""Periodo"":""2005 A 2014"",""Assunto"":""DOMINIOS"",""Observa\u00e7\u00e3o"":""INSTRUMENTOS PARTICULAR DE CESS\u00c3O E TRANSFER\u00caNCIA DE NOME DE DOM\u00cdNIO, BOLETOS E COMPROVANTES DE PAGAMENTOS - 2005 A 2014"",""Data do Documento"":""31\/12\/2014"",""Etiqueta"":""2607770""}","2014-12-31",2607770,100759,"10A261109"
Unilogic Canal Geek,Unilogic Canal Geek,Documentos Unilogic Canal Geek,"{""Pasta"":""144"",""Setor"":null,""Periodo"":""2005 A 2014"",""Assunto"":""GILSER"",""Observa\u00e7\u00e3o"":""PROPOSTA DE PRESTA\u00c7\u00c3O DE SERVI\u00c7OS, BOLETOS E COMPROVANTES DE PAGAMENTOS, PROTOCOLOS - 2005 A 2014"",""Data do Documento"":""31\/12\/2014"",""Etiqueta"":""2607765""}","2014-12-31",2607765,100758,"10A261110"
