"CLIENTE","SETOR","DOCUMENTO","metadata","document_date","ETIQUETA","CAIXA","ENDERECO"
Soft Box,SOFT BOX,DOCUMENTOS SOFT BOX,"{""Periodo"":""JANEIRO - MARCO"",""Ano"":""2015"",""Descri\u00e7\u00e3o"":""MOVIMENTO DE CAIXA \/ MOVIMENTO DE BANCO \/ COPIAS DE CHEQUE \/ EXTRATOS BANCARIOS \/ NOTAS FISCAIS DE ENTRADA"",""Setor"":""CONTABILIDADE"",""Caixa Cliente"":""CAIXA 36"",""Container \/ Box"":""529088"",""Data do Documento"":""31\/03\/2015"",""Etiqueta"":""2286000""}","2015-03-31",2286000,84107,"10A071003"
Soft Box,SOFT BOX,DOCUMENTOS SOFT BOX,"{""Periodo"":""JULHO"",""Ano"":""2012"",""Descri\u00e7\u00e3o"":""COPIA DE CHEQUE \/ EXTRATOS BANCARIOS \/ MOVIMENTO DE BANCO \/ MOVIMENTO DE CAIXA"",""Setor"":""CONTABILIDADE"",""Caixa Cliente"":""CAIXA 36"",""Container \/ Box"":""479939\/2"",""Data do Documento"":""31\/07\/2012"",""Etiqueta"":""2285999""}","2012-07-31",2285999,84106,"10A071004"
Soft Box,SOFT BOX,DOCUMENTOS SOFT BOX,"{""Periodo"":null,""Ano"":null,""Descri\u00e7\u00e3o"":""DOCUMENTOS SOFTBOX \/ NOTA FISCAL DE SAIDA"",""Setor"":""CONTABILIDADE"",""Caixa Cliente"":""CAIXA 36"",""Container \/ Box"":""482850\/3"",""Data do Documento"":""21\/07\/2021"",""Etiqueta"":""2285998""}","2021-07-21",2285998,84105,"10A071005"
Soft Box,SOFT BOX,DOCUMENTOS SOFT BOX,"{""Periodo"":null,""Ano"":null,""Descri\u00e7\u00e3o"":""CAGED \/  CADASTRO GERAL DE EMPREGADOS E DESEMPREGADOS \/ DARF \/ DOCUMENTOS DE ARRECADACAO FEDERAL \/ GFIP - SEFIP \/ GRE \/ GUIA DE RECOLHIMENTO DO FGTS \/ NOTA FISCAL DE SAIDA"",""Setor"":""DEPARTAMENTO PESSOAL \/ CONTABILIDADE"",""Caixa Cliente"":""CAIXA 35"",""Container \/ Box"":""482850\/2"",""Data do Documento"":""21\/07\/2021"",""Etiqueta"":""2285997""}","2021-07-21",2285997,84104,"10A071006"
Soft Box,SOFT BOX,DOCUMENTOS SOFT BOX,"{""Periodo"":""AGOSTO"",""Ano"":""2O12"",""Descri\u00e7\u00e3o"":""COPIA DE CHEQUE \/ EXTRATOS BANCARIOS \/ MOVIMENTO BANCARIO \/ MOVIMENTO DE CAIXA"",""Setor"":""CONTABILIDADE"",""Caixa Cliente"":""CAIXA 35"",""Container \/ Box"":""479939\/1"",""Data do Documento"":""31\/08\/2012"",""Etiqueta"":""2285996""}","2012-08-31",2285996,84103,"10A071007"
Soft Box,SOFT BOX,DOCUMENTOS SOFT BOX,"{""Periodo"":""JANEIRO - ABRIL"",""Ano"":""2015"",""Descri\u00e7\u00e3o"":""COPIA DE CHEQUE \/ EXTRATOS \/ MOVIMENTO BANCARIO \/ MOVIMENTO DE CAIXA \/ NOTA FISCAL DE ENTRADA"",""Setor"":""CONTABILIDADE"",""Caixa Cliente"":""CAIXA 35"",""Container \/ Box"":""529087"",""Data do Documento"":""31\/04\/2015"",""Etiqueta"":""2285995""}","2015-05-01",2285995,84102,"10A071008"
Soft Box,SOFT BOX,DOCUMENTOS SOFT BOX,"{""Periodo"":""SETEMBRO"",""Ano"":""2012"",""Descri\u00e7\u00e3o"":""COPIA DE CHEQUE \/ EXTRATOS BANCARIOS \/ MOVIMENTO DE BANCO \/ MOVIMENTO DE CAIXA"",""Setor"":""CONTABILIDADE"",""Caixa Cliente"":""CAIXA 34"",""Container \/ Box"":""479938\/3"",""Data do Documento"":""30\/09\/2012"",""Etiqueta"":""2285994""}","2012-09-30",2285994,84101,"10A071009"
Soft Box,SOFT BOX,DOCUMENTOS SOFT BOX,"{""Periodo"":null,""Ano"":null,""Descri\u00e7\u00e3o"":""CAGED \/ CADASTRO GERAL DE EMPREGADOS E DESEMPREGADOS \/ CARTAO DE PONTO \/ DOCUMENTOS SOFTBOX \/ GFIP - SEFIP \/ GRE \/ GUIA DE RECOLHIMENTO DE FGTS \/ HOLERITES \/ NOTA FISCAL DE SAIDA \/ RAIS \/ RELACAO ANUAL DE INFORMACOES SOCIAIS"",""Setor"":""DEPARTAMENTO PESSOAL"",""Caixa Cliente"":""CAIXA 34"",""Container \/ Box"":""482850\/1"",""Data do Documento"":""21\/07\/2021"",""Etiqueta"":""2285993""}","2021-07-21",2285993,84100,"10A071010"
Soft Box,SOFT BOX,DOCUMENTOS SOFT BOX,"{""Periodo"":""JULHO"",""Ano"":""2015"",""Descri\u00e7\u00e3o"":""MOVIMENTO DE CAIXA \/ MOVIMENTO BANCARIO \/ COPIAS  DE CHEQUE \/ EXTRATOS BANCARIOS \/ NOTAS FISCAIS DE ENTRADA"",""Setor"":""CONTABILIDADE"",""Caixa Cliente"":""CAIXA 34"",""Container \/ Box"":""529085"",""Data do Documento"":""31\/07\/2015"",""Etiqueta"":""2285992""}","2015-07-31",2285992,84099,"10A071011"
Soft Box,SOFT BOX,DOCUMENTOS SOFT BOX,"{""Periodo"":""MAIO"",""Ano"":""2012"",""Descri\u00e7\u00e3o"":""COPIA DE CHEQUE \/ EXTRATO BANCARIO \/ MOVIMENTO DE BANCO \/ MOVIMENTO DE CAIXA"",""Setor"":""CONTABILIDADE"",""Caixa Cliente"":""CAIXA 33"",""Container \/ Box"":""479938\/2"",""Data do Documento"":""31\/05\/2012"",""Etiqueta"":""2285991""}","2012-05-31",2285991,84098,"10A071012"
